BOOKMARK_NUMBER_VC,TAG_NAME_VC,TITLE_VC,ID_N
ZDC-B-2015/09/16-0009,GREEN,Sharon Green Morgan BSE,101168
ZDC-B-2016/03/02-0020,GREEN,Gerald Green BSE,162930
DAB-B-2018/01/22-8649,GREEN,N816FA 1200 - DAB,495020
N90-B-2018/01/24-9991,GREEN,N838BP NY36 - N90,495021
PBI-B-2018/01/22-3876,GREEN,1200 N734GA - PBI,495025
ZDC-B-2018/02/02-0001,GREEN,Gerald Green BSE,498945
T75-B-2018/02/08-1788,GREEN,N891NY unknown - T75,504698
T75-B-2018/02/08-8298,GREEN,AAL2437 DAL2084 - T75,504699
D10-B-2018/02/11-1761,GREEN,N6408S unknown - D10,504703
BNA-B-2018/02/09-4025,GREEN,N7385K N348D - BNA,504704
ABQ-B-2018/02/07-6424,GREEN,SKULL79 SKULL74 - ABQ,504707
FSM-B-2018/02/09-3309,GREEN,unknown unknown - FSM,504719
MSY-B-2018/02/10-0184,GREEN,Z426PA Z520ER - MSY,504721
GSP-B-2018/02/08-2780,GREEN,N83039 unknown - GSP,504736
CLT-B-2018/02/08-9875,GREEN,AAL566 AAL2013 - CLT,504738
ZOA-B-2018/02/08-8618,GREEN,SWA6387 N30W - ZOA,504740
ZSE-B-2018/02/07-0860,GREEN,N3590S N184D - ZSE,504743
ZDC-B-2018/02/08-6427,GREEN,N589HH SWA496 - ZDC,504751
CLT-B-2018/02/09-6113,GREEN,JIA5176 AAL2745 - CLT,504752
ZLA-B-2018/02/17-5152,GREEN,N5800U N252MA - ZLA,506256
ZMA-B-2018/02/12-3342,GREEN,N753G CONN461 - ZMA,506259
ZBW-B-2018/02/17-8706,GREEN,JBU1318 KAP1015 - ZBW,506260
BTR-B-2018/02/10-4625,GREEN,ZBR1 ZSP4 - BTR,506261
RSW-B-2018/02/11-9005,GREEN,N472SP unknown - RSW,506264
ZMP-B-2018/02/11-8084,GREEN,DAL1438 DAL1793 - ZMP,506266
MSN-B-2018/02/13-0200,GREEN,BADGR13 unknown - MSN,506267
LEX-B-2018/02/08-9391,GREEN,N9700Y N4872K - LEX,506273
ZDV-B-2018/02/11-5688,GREEN,UAL237 FFT572 - ZDV,506282
ZMA-B-2018/02/13-2939,GREEN,AAL1494 AAL1950 - ZMA,506293
ZLA-B-2018/02/16-2433,GREEN,CCA983 CPZ5854 - ZLA,506294
ZME-B-2018/02/10-0988,GREEN,N888XL ASH5722 - ZME,506300
SAT-B-2018/02/16-7847,GREEN,unknown CARD31 - SAT,506308
ZDC-B-2018/02/17-1274,GREEN,N83SE N4846G - ZDC,506310
ROW-B-2018/02/08-4269,GREEN,SPEDO91 unknown - ROW,506375
ROW-B-2018/02/12-7966,GREEN,R97066 unknown - ROW,506378
ACY-B-2018/02/10-3149,GREEN,DV11 unknown - ACY,506385
D21-B-2018/02/12-1736,GREEN,NKS899 EDV3396 - D21,506387
GEG-B-2018/02/13-8113,GREEN,ROOK12 unknown - GEG,506389
TYS-B-2018/02/09-7951,GREEN,X59N unknown - TYS,506397
MSY-B-2018/02/14-9218,GREEN,unknown SCAR63 - MSY,506413
ACY-B-2018/02/17-7489,GREEN,unknown N811DM - ACY,506420
FAT-B-2018/02/15-7037,GREEN,N3958R unknown - FAT,506529
GEG-B-2018/02/13-9682,GREEN,ROOK11 unknown - GEG,506531
ZMP-B-2018/02/12-7244,GREEN,DAL2499 RPA3563 - ZMP,506535
ZMP-B-2018/02/12-0477,GREEN,EDV3423 NKS880 - ZMP,506540
N90-B-2018/02/17-7650,GREEN,LBRTY1 LBRTY9 - N90,506542
CLT-B-2018/02/16-7752,GREEN,AAL1989 JIA5121 - CLT,506545
DAB-B-2018/02/11-0527,GREEN,EPIA526 unknown - DAB,506558
BOI-B-2018/02/09-6693,GREEN,BONES11 unknown - BOI,506559
RST-B-2018/02/11-1288,GREEN,unknown VIKNG84 - RST,506724
ZNY-B-2018/02/16-0856,GREEN,JIA5261 RPA4615 - ZNY,506728
P80-B-2018/02/11-0232,GREEN,unknown N8435L - P80,506736
I90-B-2018/02/15-8765,GREEN,C6581 unknown - I90,506740
ZLA-B-2018/02/14-4930,GREEN,BADGER1 BADGER4 - ZLA,506742
MOB-B-2018/02/18-6711,GREEN,N2320A RN229 - MOB,506744
ZAU-B-2018/02/17-7979,GREEN,BAW297 ENY3492 - ZAU,506924
ABE-B-2018/02/13-1370,GREEN,N4533S unknown - ABE,506925
ZDV-B-2018/02/10-6494,GREEN,UAL461 FFT485 - ZDV,506926
RSW-B-2018/02/10-6266,GREEN,CONN695 unknown - RSW,506927
ZLA-B-2018/02/15-0304,GREEN,NKS404 CFVMW - ZLA,506937
ABI-B-2018/02/14-2222,GREEN,XHC33 HAWK94 - ABI,506939
ZHU-B-2018/02/10-0367,GREEN,UAL2084 ASQ4258 - ZHU,506940
SAV-B-2018/02/14-8753,GREEN,N3963D unknown - SAV,506941
N90-B-2018/02/17-2944,GREEN,N321JS LBRTY11 - N90,507160
MSY-B-2018/02/14-1890,GREEN,BLADE11 unknown - MSY,507161
CRP-B-2018/02/17-8884,GREEN,HAWK280 unknown - CRP,507167
D10-B-2018/02/10-4972,GREEN,AAL81 ASH5915 - D10,507168
M98-B-2018/02/07-3618,GREEN,DAL2173 SKW3591 - M98,507169
ZTL-B-2018/02/12-3986,GREEN,DAL954 SWA4198 - ZTL,507183
P31-B-2018/02/17-0711,GREEN,BB165 unknown - P31,507184
ZFW-B-2018/02/17-7378,GREEN,AAL1454 AAL2582 - ZFW,507188
TUL-B-2018/02/16-8052,GREEN,N4641P unknown - TUL,507193
ZDC-B-2018/02/16-3117,GREEN,XOJ765 ASH6211 - ZDC,507199
PBI-B-2018/02/17-1316,GREEN,NOBLE12 unknown - PBI,507202
ZMP-B-2018/02/14-1155,GREEN,SKW4714 SKW4491 - ZMP,507209
ZMA-B-2018/02/17-1335,GREEN,IGOR18 NOBLE12 - ZMA,507210
ZTL-B-2018/02/17-3287,GREEN,DAL982 AAL1902 - ZTL,507224
T75-B-2018/02/09-8849,GREEN,AIR2 KDSFLT2 - T75,507229
LAN-B-2018/02/08-2019,GREEN,G24588 unknown - LAN,507234
NCT-B-2018/02/17-7305,GREEN,UAL2400 UAL213 - NCT,507259
U90-B-2018/02/13-6157,GREEN,unknown unknown - U90,507265
ZDV-B-2018/02/17-0208,GREEN,UAL2076 UAL440 - ZDV,507267
P80-B-2018/02/18-0856,GREEN,FFT788 QXE2389 - P80,507268
ZDC-B-2018/02/11-4732,GREEN,EIN119 DAL1093 - ZDC,507273
ZME-B-2018/02/10-8273,GREEN,ASQ439T FDX1257 - ZME,507275
M98-B-2018/02/10-4671,GREEN,DAL1346 DAL2332 - M98,507280
ZMA-B-2018/02/15-2902,GREEN,N92103 N151BL - ZMA,507288
PIT-B-2018/02/08-2417,GREEN,CH11 ST7 - PIT,507290
ZBW-B-2018/02/17-4099,GREEN,JBU1282 KAP15 - ZBW,507291
MAF-B-2018/02/07-9981,GREEN,X691 X3SM - MAF,507292
D10-B-2018/02/12-8906,GREEN,EJA775 unknown - D10,507314
ZDV-B-2018/02/11-9278,GREEN,LOF4734 UAL1193 - ZDV,507322
A80-B-2018/02/12-0528,GREEN,FFT1442 JIA5545 - A80,507328
ZTL-B-2018/02/17-5231,GREEN,DAL977 AAL1163 - ZTL,507334
BFL-B-2018/02/16-0118,GREEN,N6625N N270CC - BFL,507343
D10-B-2018/02/12-4987,GREEN,N553RA unknown - D10,507349
ZAB-B-2018/02/18-8533,GREEN,AAL1878 AAL1700 - ZAB,507356
RDU-B-2018/02/08-9762,GREEN,N715JS N63YB - RDU,507364
RSW-B-2018/02/11-5047,GREEN,unknown N127KW - RSW,507367
