FAA Airport,Latitude,Longitude,ElevationInFeet,NOP Facility
0F3,43.3875,-95.1392,1434.0,ZMP
ABE,40.6521,-75.4408,393.7,ABE
ABI,32.4113,-99.6819,1790.6,ABI
ABQ,35.0402,-106.6090,5354.9,ABQ
ABY,31.5355,-84.1945,196.2,ZJX
ACK,41.2531,-70.0602,47.0,A90
ACT,31.6113,-97.2305,516.1,ACT
ACY,39.4576,-74.5772,74.8,ACY
ADM,34.3030,-97.0196,776.7,ZFW
ADQ,57.7500,-152.4940,78.8,NO MATCH
ADS,32.9686,-96.8364,644.6,D10
ADW,38.8108,-76.8670,279.5,PCT
AEG,35.1452,-106.7950,5837.4,ABQ
AEX,31.3274,-92.5498,88.5,NO MATCH
AFW,32.9876,-97.3188,723.0,D10
AGC,40.3544,-79.9302,1251.5,PIT
AGS,33.3699,-81.9645,145.7,AGS
AHN,33.9486,-83.3263,812.5,A80
AKN,58.6768,-156.6490,73.4,NO MATCH
ALB,42.7483,-73.8017,284.9,ALB
ALN,38.8903,-90.0460,543.5,T75
ALO,42.5571,-92.4003,873.0,ALO
ALW,46.0949,-118.2880,1194.4,GEG
AMA,35.2194,-101.7060,3606.7,AMA
ANC,61.1744,-149.9960,151.4,NO MATCH
ANE,45.1450,-93.2114,912.2,M98
APA,39.5701,-104.8490,5885.0,D01
APC,38.2132,-122.2810,35.5,ZOA
APF,26.1526,-81.7753,8.2,RSW
ARA,30.0378,-91.8839,24.0,LFT
ARB,42.2230,-83.7456,839.0,D21
ARR,41.7719,-88.4757,712.0,C90
ASE,39.2232,-106.8690,7837.9,ASE
ASG,36.1764,-94.1193,1352.5,FSM
ASH,42.7817,-71.5148,200.4,A90
ASW,41.2747,-85.8401,849.7,FWA
ATL,33.6367,-84.4281,1026.2,A80
ATW,44.2581,-88.5191,918.3,GRB
AUS,30.1945,-97.6699,541.5,AUS
AVL,35.4362,-82.5418,2162.4,AVL
AVP,41.3385,-75.7234,961.7,AVP
AZO,42.2349,-85.5521,873.9,AZO
BAF,42.1578,-72.7156,270.0,Y90
BAK,39.2619,-85.8963,656.0,IND
BAZ,29.7045,-98.0422,658.4,SAT
BBG,36.5321,-93.2005,1302.0,SGF
BCT,26.3785,-80.1077,13.0,PBI
BDL,41.9389,-72.6832,173.3,Y90
BDR,41.1635,-73.1262,8.5,N90
BED,42.4700,-71.2890,132.0,A90
BET,60.7798,-161.8380,128.8,NO MATCH
BFI,47.5300,-122.3020,21.6,S46
BFL,35.4336,-119.0570,509.6,BFL
BFM,30.6268,-88.0681,26.2,MOB
BGM,42.2087,-75.9798,1636.0,BGM
BGR,44.8074,-68.8281,192.1,BGR
BHM,33.5629,-86.7535,650.0,BHM
BIL,45.8077,-108.5430,3662.3,BIL
BIS,46.7727,-100.7460,1661.3,BIS
BJC,39.9088,-105.1170,5673.4,D01
BKL,41.5175,-81.6833,583.5,CLE
BKV,28.4736,-82.4554,76.0,TPA
BLI,48.7928,-122.5380,171.0,NO MATCH
BMG,39.1460,-86.6167,845.5,HUF
BMI,40.4771,-88.9159,871.4,T75
BNA,36.1245,-86.6782,599.0,BNA
BOI,43.5644,-116.2230,2871.7,BOI
BOS,42.3643,-71.0052,19.1,A90
BPT,29.9508,-94.0207,15.4,I90
BQN,18.4949,-67.1294,237.2,ZMA
BRO,25.9068,-97.4259,22.4,CRP
BTL,42.3073,-85.2515,951.8,AZO
BTR,30.5332,-91.1496,69.7,BTR
BTV,44.4719,-73.1533,334.7,BTV
BUF,42.9405,-78.7322,726.9,BUF
BUR,34.2007,-118.3590,778.0,SCT
BVY,42.5842,-70.9165,107.3,A90
BWI,39.1754,-76.6683,143.4,PCT
BZN,45.7775,-111.1530,4473.4,BOI
CAE,33.9388,-81.1195,236.0,CAE
CAK,40.9161,-81.4422,1225.5,CLE
CCR,37.9897,-122.0570,25.5,NO MATCH
CDW,40.8752,-74.2814,172.3,N90
CGF,41.5651,-81.4864,876.1,CLE
CHA,35.0353,-85.2038,682.5,CHA
CHD,33.2691,-111.8110,1243.1,P50
CHO,38.1386,-78.4529,639.7,PCT
CHS,32.8986,-80.0405,46.0,CHS
CIC,39.7954,-121.8580,240.2,ZOA
CID,41.8847,-91.7108,869.4,CID
CKB,39.2966,-80.2281,1223.5,CKB
CLE,41.4117,-81.8498,799.4,CLE
CLL,30.5886,-96.3638,320.6,I90
CLT,35.2140,-80.9431,747.9,CLT
CMA,34.2137,-119.0940,76.8,NO MATCH
CMH,39.9980,-82.8919,815.0,CMH
CMI,40.0392,-88.2781,754.7,CMI
CNO,33.9747,-117.6370,650.0,SCT
CNW,31.6378,-97.0741,470.2,ACT
COS,38.8058,-104.7010,6187.1,COS
COU,38.8181,-92.2196,888.2,SGF
CPR,42.9080,-106.4640,5344.0,CPR
CPS,38.5707,-90.1562,412.9,T75
CRE,33.8117,-78.7239,31.4,MYR
CRG,30.3363,-81.5144,40.7,JAX
CRP,27.7704,-97.5012,46.1,CRP
CRQ,33.1283,-117.2800,330.5,SCT
CRW,38.3731,-81.5932,947.1,CRW
CSG,32.5163,-84.9389,397.4,A80
CVG,39.0488,-84.6678,896.2,CVG
CWA,44.7776,-89.6668,1277.2,ZMP
CWF,30.2106,-93.1432,16.5,LCH
CXO,30.3518,-95.4145,244.8,I90
CXY,40.2171,-76.8515,346.7,MDT
CYS,41.1557,-104.8120,6159.9,NO MATCH
DAB,29.1799,-81.0581,34.1,DAB
DAL,32.8471,-96.8518,486.9,D10
DAY,39.9024,-84.2194,1009.1,CMH
DBQ,42.4020,-90.7095,1076.5,ZAU
DCA,38.8521,-77.0377,14.1,PCT
DEC,39.8346,-88.8657,681.9,CMI
DEN,39.8617,-104.6730,5433.8,D01
DET,42.4092,-83.0099,626.0,D21
DFW,32.8968,-97.0380,607.0,D10
DHN,31.3213,-85.4496,400.8,NO MATCH
DLH,46.8421,-92.1936,1427.8,DLH
DPA,41.9078,-88.2486,758.6,C90
DSM,41.5340,-93.6631,957.5,DSM
DTN,32.5402,-93.7450,179.4,SHV
